@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272013
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050546
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000207198211
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le      0.000321634169
@ ORBIT5           %le                  -0
@ GAMMATR          %le         55.75950503
@ Q1               %le         64.28000068
@ Q2               %le         59.31000012
@ DQ1              %le        -86.19015569
@ DQ2              %le        -81.51559529
@ DXMAX            %le         2.859817065
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         595.1194258
@ BETYMAX          %le         609.5259281
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.396874723
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %52s "V6.5: new IR3/7, moved Q3 in IR1/2/5/8 -  March 2004"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "08/11/17"
@ TIME             %08s "21.10.32"
* NAME                                S               BETX               ALFX                MUX                  X                 DX 
$ %s                                %le                %le                %le                %le                %le                %le 
 "BPM.29R1.B1"                        0        171.0049855       -2.426135082                  0                  0        1.974100249
 "BPM.30R1.B1"               53.4514841        30.93444234       0.4961653157       0.1194617818                  0       0.9895745001
 "BPM.31R1.B1"              106.9029682        171.0049825       -2.426135041       0.2634908044                  0        1.974100197
 "BPM.32R1.B1"              160.3544523        30.93444238       0.4961652985       0.3829525873                  0       0.9895744665
 "BPM.33R1.B1"              213.8059364        171.0049854       -2.426135077       0.5269816081                  0        1.974100142
 "BPM.34R1.B1"              267.2574205        30.93444225       0.4961653137       0.6464433901                  0       0.9895744658
 "BPM.33L2.B1"              320.7089046        171.0049827       -2.426135047       0.7904724129                  0        1.974100203
 "BPM.32L2.B1"              374.1603887        30.93444247       0.4961653009       0.9099341956                  0       0.9895744996
 "BPM.31L2.B1"              427.6118728        171.0049851       -2.426135071        1.053963216                  0        1.974100248
 "BPM.30L2.B1"              481.0633569        30.93444217       0.4961653109        1.173424999                  0       0.9895744945
 "BPM.29L2.B1"               534.514841         171.004983       -2.426135054        1.317454021                  0        1.974100179
 "BPM.28L2.B1"              587.9663251        30.93444255       0.4961653039        1.436915804                  0       0.9895744617
 "BPM.27L2.B1"              641.4178092        171.0049847       -2.426135063        1.580944824                  0        1.974100146
 "BPM.26L2.B1"              694.8692933        30.93444211       0.4961653077        1.700406607                  0       0.9895744723
 "BPM.25L2.B1"              748.3207774        171.0049835       -2.426135062         1.84443563                  0        1.974100221
 "BPM.24L2.B1"              801.7722614         30.9344426       0.4961653073        1.963897412                  0       0.9895745033
 "BPM.23L2.B1"              855.2237455        171.0049842       -2.426135055        2.107926433                  0        1.974100241
 "BPM.22L2.B1"              908.6752296        30.93444207       0.4961653043        2.227388216                  0       0.9895744875
 "BPM.21L2.B1"              962.1267137         171.004984        -2.42613507        2.371417238                  0        1.974100163
 "BPM.20L2.B1"              1015.578198        30.93444262       0.4961653106         2.49087902                  0       0.9895744591
 "BPM.19L2.B1"              1069.029682        171.0049837       -2.426135048        2.634908041                  0        1.974100156
 "BPM.18L2.B1"              1122.481166        30.93444207       0.4961653012        2.754369824                  0       0.9895744797
 "BPM.17L2.B1"               1175.93265        171.0049845       -2.426135076        2.898398847                  0        1.974100235
 "BPM.16L2.B1"              1229.384134        30.93444261       0.4961653134        3.017860628                  0       0.9895745047
 "BPM.15L2.B1"              1282.835618        171.0049832       -2.426135042         3.16188965                  0        1.974100229
 "BPM.14L2.B1"              1336.287102        30.93444209       0.4961652987        3.281351433                  0       0.9895744798
 "BPM.13L2.B1"              1389.738587        171.0049849       -2.426135081        3.425380455                  0        1.974100151
 "BPM.12L2.B1"              1443.190071        39.51441832       0.5832480051        3.528624848                  0        1.131769126
 "BPM.11L2.B1"              1496.641555        176.8409303       -2.255871712        3.648588809                  0         2.48425394
 "BPM.10L2.B1"              1548.482244        25.64541142       0.4746398959        3.776238326                  0       0.9963954204
 "BPM.9L2.B1"               1587.549233        106.6939596       -2.014597269        3.925122601                  0        1.088440523
 "BPM.8L2.B1"               1628.014223        37.67750592       0.5410778713        4.020884418                  0       0.3320960928
 "BPM.7L2.B1"               1667.082212        88.48916132       -1.290938752        4.147008722                  0      0.05772489836
 "BPMR.6L2.B1"              1699.188212        31.53534768      -0.3224853907        4.249414382                  0     -0.01897857144
 "BPMYB.5L2.B1"             1771.387212        193.6449355        4.269732415        4.396635402                  0      -0.1920612823
 "BPMYB.4L2.B1"             1791.957212        60.00810166        2.226953721        4.427192911                  0      -0.1140699174
 "BPMWI.4L2.B1"             1816.424712        45.97249227      -0.3415720123         4.51591711                  0     -0.08657068939
 "BPMSX.4L2.B1"             1866.581712        141.3438771       -1.559885108        4.622801663                  0     -0.00970464887
 "BPMS.2L2.B1"              1904.493212        60.28492403       -1.546174943        4.678282551                  0   -1.710934503e-08
