@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272013
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050546
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000207198211
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le     0.0003234634584
@ ORBIT5           %le                  -0
@ GAMMATR          %le         55.60161256
@ Q1               %le         64.28000144
@ Q2               %le          59.3100025
@ DQ1              %le        -86.18983421
@ DQ2              %le        -81.51516585
@ DXMAX            %le         4.816960286
@ DYMAX            %le                  -0
@ XCOMAX           %le       0.01361252637
@ YCOMAX           %le                   0
@ BETXMAX          %le         595.1279846
@ BETYMAX          %le          609.515359
@ XCORMS           %le       0.00459229121
@ YCORMS           %le                   0
@ DXRMS            %le          1.83494418
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %52s "V6.5: new IR3/7, moved Q3 in IR1/2/5/8 -  March 2004"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "09/11/17"
@ TIME             %08s "08.37.54"
* NAME                                S               BETX               ALFX                MUX                  X                 DX 
$ %s                                %le                %le                %le                %le                %le                %le 
 "BPM.29R1.B1"                        0        171.0040208       -2.426090292                  0    -0.008603084038       0.3262459199
 "BPM.30R1.B1"               53.4514841        30.93376994       0.4961534515       0.1194636144    -0.002363348187        1.119242666
 "BPM.31R1.B1"              106.9029682        171.0061681       -2.426168719         0.26349416     0.001801562822        4.321379813
 "BPM.32R1.B1"              160.3544523        30.93497228       0.4961786472       0.3829542694     0.003020696176        2.144946859
 "BPM.33R1.B1"              213.8059364        171.0040911       -2.426098857       0.5269824558     0.008298040167        3.232062371
 "BPM.34R1.B1"              267.2574205        30.93340611       0.4961428802       0.6464472926     0.001851839872       0.6769570956
 "BPM.33L2.B1"              320.7089046        171.0070771       -2.426201294       0.7904783819    -0.003206720544       -0.551328763
 "BPM.32L2.B1"              374.1603887        30.93565201       0.4961956507       0.9099362105     -0.00333429129      -0.1050922366
 "BPM.31L2.B1"              427.6118728        171.0010158       -2.426050495        1.053963265    -0.007755053375        1.130269626
 "BPM.30L2.B1"              481.0633569        30.93380933       0.4961359887        1.173428132    -0.001287273864        1.473525509
 "BPM.29L2.B1"               534.514841        171.0093212       -2.426205362        1.317456804     0.004519804553        4.609809335
 "BPM.28L2.B1"              587.9663251        30.93466269       0.4961919181        1.436916345     0.003552234472        1.996872634
 "BPM.27L2.B1"              641.4178092        171.0013732        -2.42607636        1.580947116     0.006989713728         2.39060497
 "BPM.26L2.B1"              694.8692933        30.93389485       0.4961342356        1.700411907    0.0006857614753       0.3499803556
 "BPM.25L2.B1"              748.3207774        171.0089932        -2.42621145        1.844440144    -0.005703400506      -0.7027563609
 "BPM.24L2.B1"              801.7722614        30.93524559       0.4962021312        1.963898068    -0.003668380057      0.09344820845
 "BPM.23L2.B1"              855.2237455        170.9995128       -2.426042614        2.107927403    -0.006023999156        1.986856299
