@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272013
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050546
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000207198211
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le      0.000321634169
@ ORBIT5           %le                  -0
@ GAMMATR          %le         55.75950503
@ Q1               %le         64.28000068
@ Q2               %le         59.31000012
@ DQ1              %le        -86.19015569
@ DQ2              %le        -81.51559529
@ DXMAX            %le         2.859817065
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         595.1194258
@ BETYMAX          %le         609.5259281
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.396874723
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %52s "V6.5: new IR3/7, moved Q3 in IR1/2/5/8 -  March 2004"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "09/11/17"
@ TIME             %08s "07.54.01"
* NAME                                S               BETX 
$ %s                                %le                %le 
 "BPM.29R1.B1"                        0        171.0049855
 "BPM.30R1.B1"               53.4514841        30.93444234
 "BPM.31R1.B1"              106.9029682        171.0049825
 "BPM.32R1.B1"              160.3544523        30.93444238
 "BPM.33R1.B1"              213.8059364        171.0049854
 "BPM.34R1.B1"              267.2574205        30.93444225
 "BPM.33L2.B1"              320.7089046        171.0049827
 "BPM.32L2.B1"              374.1603887        30.93444247
 "BPM.31L2.B1"              427.6118728        171.0049851
 "BPM.30L2.B1"              481.0633569        30.93444217
 "BPM.29L2.B1"               534.514841         171.004983
 "BPM.28L2.B1"              587.9663251        30.93444255
 "BPM.27L2.B1"              641.4178092        171.0049847
 "BPM.26L2.B1"              694.8692933        30.93444211
 "BPM.25L2.B1"              748.3207774        171.0049835
 "BPM.24L2.B1"              801.7722614         30.9344426
 "BPM.23L2.B1"              855.2237455        171.0049842
 "BPM.22L2.B1"              908.6752296        30.93444207
 "BPM.21L2.B1"              962.1267137         171.004984
 "BPM.20L2.B1"              1015.578198        30.93444262
 "BPM.19L2.B1"              1069.029682        171.0049837
 "BPM.18L2.B1"              1122.481166        30.93444207
 "BPM.17L2.B1"               1175.93265        171.0049845
 "BPM.16L2.B1"              1229.384134        30.93444261
 "BPM.15L2.B1"              1282.835618        171.0049832
 "BPM.14L2.B1"              1336.287102        30.93444209
 "BPM.13L2.B1"              1389.738587        171.0049849
 "BPM.12L2.B1"              1443.190071        39.51441832
 "BPM.11L2.B1"              1496.641555        176.8409303
 "BPM.10L2.B1"              1548.482244        25.64541142
 "BPM.9L2.B1"               1587.549233        106.6939596
 "BPM.8L2.B1"               1628.014223        37.67750592
 "BPM.7L2.B1"               1667.082212        88.48916132
 "BPMR.6L2.B1"              1699.188212        31.53534768
 "BPMYB.5L2.B1"             1771.387212        193.6449355
 "BPMYB.4L2.B1"             1791.957212        60.00810166
 "BPMWI.4L2.B1"             1816.424712        45.97249227
 "BPMSX.4L2.B1"             1866.581712        141.3438771
 "BPMS.2L2.B1"              1904.493212        60.28492403
 "BPMSW.1L2.B1"             1914.427212        56.63440207
 "BPMSW.1R2.B1"             1957.617212        56.63440283
 "BPMS.2R2.B1"              1967.551212        179.6732105
 "BPMSX.4R2.B1"             2005.462712        58.38848303
 "BPMWB.4R2.B1"             2055.695712        49.98917688
 "BPMYB.4R2.B1"             2080.087212        70.77022523
 "BPMR.5R2.B1"              2109.621212        33.01058107
 "BPM.6R2.B1"               2182.917212        287.5922087
 "BPM_A.7R2.B1"             2195.792212        136.6063477
 "BPM.8R2.B1"               2237.229223         126.957734
 "BPM.9R2.B1"               2276.294233        15.14057878
 "BPM.10R2.B1"              2316.757244        160.8387603
 "BPM.11R2.B1"              2368.595955        35.40871502
 "BPM.12R2.B1"              2423.319471        176.1420847
 "BPM.13R2.B1"              2476.767987        30.98023842
 "BPM.14R2.B1"              2530.216502        170.9897799
 "BPM.15R2.B1"              2583.665018         30.9371099
 "BPM.16R2.B1"              2637.113534        170.9897771
 "BPM.17R2.B1"               2690.56205         30.9371101
 "BPM.18R2.B1"              2744.010566        170.9897796
 "BPM.19R2.B1"              2797.459082        30.93710982
 "BPM.20R2.B1"              2850.907598        170.9897774
 "BPM.21R2.B1"              2904.356114        30.93711018
 "BPM.22R2.B1"               2957.80463        170.9897792
 "BPM.23R2.B1"              3011.253146        30.93710975
 "BPM.24R2.B1"              3064.701661        170.9897779
 "BPM.25R2.B1"              3118.150177        30.93711023
 "BPM.26R2.B1"              3171.598693        170.9897787
 "BPM.27R2.B1"              3225.047209        30.93710971
 "BPM.28R2.B1"              3278.495725        170.9897784
 "BPM.29R2.B1"              3331.944241        30.93711025
 "BPM.30R2.B1"              3385.392757        170.9897782
 "BPM.31R2.B1"              3438.841273         30.9371097
 "BPM.32R2.B1"              3492.289789        170.9897789
 "BPM.33R2.B1"              3545.738305        30.93711025
 "BPM.34R2.B1"               3599.18682        170.9897777
 "BPM.33L3.B1"              3652.635336        30.93710972
 "BPM.32L3.B1"              3706.083852        170.9897793
 "BPM.31L3.B1"              3759.532368        30.93711021
 "BPM.30L3.B1"              3812.980884        170.9897773
 "BPM.29L3.B1"                3866.4294        30.93710977
 "BPM.28L3.B1"              3919.877916        170.9897797
 "BPM.27L3.B1"              3973.326432        30.93711015
 "BPM.26L3.B1"              4026.774948         170.989777
 "BPM.25L3.B1"              4080.223464        30.93710985
 "BPM.24L3.B1"               4133.67198        170.9897799
 "BPM.23L3.B1"              4187.120495        30.93711007
 "BPM.22L3.B1"              4240.569011        170.9897769
 "BPM.21L3.B1"              4294.017527        30.93710994
 "BPM.20L3.B1"              4347.466043          170.98978
 "BPM.19L3.B1"              4400.914559        30.93710997
 "BPM.18L3.B1"              4454.363075        170.9897769
 "BPM.17L3.B1"              4507.811591        30.93711003
 "BPM.16L3.B1"              4561.260107        170.9897798
 "BPM.15L3.B1"              4614.708623        30.93710988
 "BPM.14L3.B1"              4668.157139        170.9897772
 "BPM.13L3.B1"              4721.605654        30.93711012
 "BPM.12L3.B1"               4775.05417        168.1913221
 "BPM.11L3.B1"              4828.502686        27.95631884
 "BPM.10L3.B1"              4881.283397        158.3760553
 "BPM.9L3.B1"               4920.348407        54.36616864
 "BPM.8L3.B1"               4960.811418        177.4127009
 "BPM.7L3.B1"               4999.875429        53.68512656
 "BPM.6L3.B1"               5072.514429        206.7757871
 "BPMWE.5L3.B1"             5115.643929        65.38589691
 "BPMW.5L3.B1"              5143.188929        56.59249432
 "BPMWE.4L3.B1"             5218.316929        272.6638725
 "BPMW.4L3.B1"              5245.861929        250.6034507
 "BPMW.4R3.B1"              5290.826929        44.32465922
 "BPMWE.4R3.B1"             5318.371929        30.72273387
 "BPMW.5R3.B1"              5393.499929        347.6564742
 "BPMWE.5R3.B1"             5421.044929        312.5667395
 "BPMWC.6R3.B1"             5462.035929        64.79643548
 "BPMR.6R3.B1"              5474.114429        39.72868035
 "BPM_A.7R3.B1"             5529.938429        91.47270349
 "BPM.8R3.B1"               5569.002439        34.74738087
 "BPM.9R3.B1"                5608.06745        128.3620897
 "BPM.10R3.B1"               5648.53046        53.87533446
 "BPM.11R3.B1"              5701.311171        181.4921214
 "BPM.12R3.B1"              5756.034687         41.2626036
 "BPM.13R3.B1"              5809.483203        171.4268312
 "BPM.14R3.B1"              5862.931719        30.93711025
 "BPM.15R3.B1"              5916.380235        170.9897781
 "BPM.16R3.B1"              5969.828751        30.93710971
 "BPM.17R3.B1"              6023.277267         170.989779
 "BPM.18R3.B1"              6076.725782        30.93711023
 "BPM.19R3.B1"              6130.174298        170.9897776
 "BPM.20R3.B1"              6183.622814        30.93710974
 "BPM.21R3.B1"               6237.07133        170.9897794
 "BPM.22R3.B1"              6290.519846        30.93711019
